bairro,tipologia,k_inf,k_sup,escrituras,pct_corte_baixo,pct_corte_alto,mediana_m2,cerca_inferior_m2,cerca_superior_m2
COPACABANA,Apartamento,2.0,2.5,9914,6.51,5.79,10208,8068,13698
COPACABANA,Apartamento,2.5,3.0,9914,3.34,4.93,10208,7607,14528
COPACABANA,Apartamento,3.0,3.5,9914,2.56,4.06,10208,7172,15408
BARRA DA TIJUCA,Apartamento,2.0,2.5,9881,2.23,7.12,9164,6258,14760
BARRA DA TIJUCA,Apartamento,2.5,3.0,9881,0.21,3.59,9164,5689,16237
BARRA DA TIJUCA,Apartamento,3.0,3.5,9881,,1.25,9164,5172,17861
RECREIO DOS BANDEIRANTES,Apartamento,2.0,2.5,7526,2.02,2.17,5971,4647,8168
RECREIO DOS BANDEIRANTES,Apartamento,2.5,3.0,7526,0.90,1.86,5971,4365,8696
RECREIO DOS BANDEIRANTES,Apartamento,3.0,3.5,7526,0.57,1.37,5971,4100,9259
JACAREPAGUÁ,Apartamento,2.0,2.5,6872,0.81,,6231,4372,9702
JACAREPAGUÁ,Apartamento,2.5,3.0,6872,0.65,,6231,4002,10600
JACAREPAGUÁ,Apartamento,3.0,3.5,6872,0.23,,6231,3663,11581
TIJUCA,Apartamento,2.0,2.5,6039,3.00,2.58,5669,3765,9455
TIJUCA,Apartamento,2.5,3.0,6039,1.41,,5669,3399,10473
TIJUCA,Apartamento,3.0,3.5,6039,0.78,,5669,3068,11601
BOTAFOGO,Apartamento,2.0,2.5,4178,0.93,4.55,10702,7135,17765
BOTAFOGO,Apartamento,2.5,3.0,4178,0.10,2.97,10702,6447,19660
BOTAFOGO,Apartamento,3.0,3.5,4178,0.05,,10702,5826,21758
IPANEMA,Apartamento,2.0,2.5,3057,2.49,5.79,16748,10327,30649
IPANEMA,Apartamento,2.5,3.0,3057,1.54,2.49,16748,9151,34587
IPANEMA,Apartamento,3.0,3.5,3057,0.29,1.11,16748,8110,39031
FREGUESIA (JACAREPAGUÁ),Apartamento,2.0,2.5,2650,2.15,0.75,4812,3670,6753
FREGUESIA (JACAREPAGUÁ),Apartamento,2.5,3.0,2650,1.21,,4812,3430,7226
FREGUESIA (JACAREPAGUÁ),Apartamento,3.0,3.5,2650,0.26,,4812,3205,7732
CAMORIM,Apartamento,2.0,2.5,2612,,,6428,4011,11592
CAMORIM,Apartamento,2.5,3.0,2612,,,6428,3565,13042
CAMORIM,Apartamento,3.0,3.5,2612,,,6428,3168,14675
LEBLON,Apartamento,2.0,2.5,2213,,2.30,19577,11562,37816
LEBLON,Apartamento,2.5,3.0,2213,,1.04,19577,10135,43138
LEBLON,Apartamento,3.0,3.5,2213,,0.63,19577,8885,49209
CAMPO GRANDE,Apartamento,2.0,2.5,2130,6.53,,3479,2396,5546
CAMPO GRANDE,Apartamento,2.5,3.0,2130,1.08,,3479,2182,6088
CAMPO GRANDE,Apartamento,3.0,3.5,2130,,,3479,1988,6683
PECHINCHA,Apartamento,2.0,2.5,1806,2.27,,4234,3457,5456
PECHINCHA,Apartamento,2.5,3.0,1806,0.72,,4234,3286,5740
PECHINCHA,Apartamento,3.0,3.5,1806,0.33,,4234,3124,6038
CACHAMBI,Apartamento,2.0,2.5,1754,2.57,,4633,3062,7775
CACHAMBI,Apartamento,2.5,3.0,1754,0.74,,4633,2760,8623
CACHAMBI,Apartamento,3.0,3.5,1754,0.46,,4633,2489,9564
TAQUARA,Apartamento,2.0,2.5,1719,5.18,2.21,4174,3383,5427
TAQUARA,Apartamento,2.5,3.0,1719,2.79,0.35,4174,3210,5720
TAQUARA,Apartamento,3.0,3.5,1719,1.34,,4174,3046,6028
VILA ISABEL,Apartamento,2.0,2.5,1705,2.40,0.53,4535,2998,7606
VILA ISABEL,Apartamento,2.5,3.0,1705,0.70,,4535,2704,8435
VILA ISABEL,Apartamento,3.0,3.5,1705,0.35,,4535,2438,9354
LARANJEIRAS,Apartamento,2.0,2.5,1502,1.86,3.26,9130,6678,13497
LARANJEIRAS,Apartamento,2.5,3.0,1502,1.13,2.00,9130,6176,14595
LARANJEIRAS,Apartamento,3.0,3.5,1502,0.73,2.00,9130,5711,15782
FLAMENGO,Apartamento,2.0,2.5,1214,,0.82,9128,6501,13952
FLAMENGO,Apartamento,2.5,3.0,1214,,0.33,9128,5972,15187
FLAMENGO,Apartamento,3.0,3.5,1214,,0.16,9128,5486,16532
TODOS OS SANTOS,Apartamento,2.0,2.5,1200,3.25,,4744,3411,7164
