bairro,tipologia,k_inf,k_sup,pct_corte_baixo,pct_corte_alto,escrituras
ABOLIÇÃO,Apartamento,2.0,2.5,0.00,0.00,25
ABOLIÇÃO,Apartamento,2.5,3.0,0.00,0.00,25
ABOLIÇÃO,Apartamento,3.0,3.5,0.00,0.00,25
ABOLIÇÃO,Casa,2.0,2.5,0.00,0.00,4
ABOLIÇÃO,Casa,2.5,3.0,0.00,0.00,4
ABOLIÇÃO,Casa,3.0,3.5,0.00,0.00,4
ÁGUA SANTA,Apartamento,2.0,2.5,3.77,0.00,53
ÁGUA SANTA,Apartamento,2.5,3.0,0.00,0.00,53
ÁGUA SANTA,Apartamento,3.0,3.5,0.00,0.00,53
ALTO DA BOA VISTA,Apartamento,2.0,2.5,0.00,33.33,6
ALTO DA BOA VISTA,Apartamento,2.5,3.0,0.00,33.33,6
ALTO DA BOA VISTA,Apartamento,3.0,3.5,0.00,33.33,6
ANCHIETA,Apartamento,2.0,2.5,0.00,0.00,6
ANCHIETA,Apartamento,2.5,3.0,0.00,0.00,6
ANCHIETA,Apartamento,3.0,3.5,0.00,0.00,6
ANCHIETA,Casa,2.0,2.5,0.00,0.00,2
ANCHIETA,Casa,2.5,3.0,0.00,0.00,2
ANCHIETA,Casa,3.0,3.5,0.00,0.00,2
ANDARAÍ,Apartamento,2.0,2.5,7.85,0.00,573
ANDARAÍ,Apartamento,2.5,3.0,4.89,0.00,573
ANDARAÍ,Apartamento,3.0,3.5,2.27,0.00,573
ANDARAÍ,Casa,2.0,2.5,15.38,0.00,13
ANDARAÍ,Casa,2.5,3.0,15.38,0.00,13
ANDARAÍ,Casa,3.0,3.5,15.38,0.00,13
ANIL,Apartamento,2.0,2.5,3.34,0.00,389
ANIL,Apartamento,2.5,3.0,1.80,0.00,389
ANIL,Apartamento,3.0,3.5,1.29,0.00,389
ANIL,Casa,2.0,2.5,0.00,0.00,32
ANIL,Casa,2.5,3.0,0.00,0.00,32
ANIL,Casa,3.0,3.5,0.00,0.00,32
BANCÁRIOS,Apartamento,2.0,2.5,11.76,0.00,17
BANCÁRIOS,Apartamento,2.5,3.0,0.00,0.00,17
BANCÁRIOS,Apartamento,3.0,3.5,0.00,0.00,17
BANCÁRIOS,Casa,2.0,2.5,0.00,0.00,9
BANCÁRIOS,Casa,2.5,3.0,0.00,0.00,9
BANCÁRIOS,Casa,3.0,3.5,0.00,0.00,9
BANGU,Apartamento,2.0,2.5,16.42,0.00,67
BANGU,Apartamento,2.5,3.0,8.96,0.00,67
BANGU,Apartamento,3.0,3.5,8.96,0.00,67
BANGU,Casa,2.0,2.5,2.22,11.11,90
BANGU,Casa,2.5,3.0,2.22,11.11,90
BANGU,Casa,3.0,3.5,0.00,0.00,90
BARRA DA TIJUCA,Apartamento,2.0,2.5,2.23,9.05,6408
BARRA DA TIJUCA,Apartamento,2.5,3.0,0.33,3.31,6408
BARRA DA TIJUCA,Apartamento,3.0,3.5,0.00,0.97,6408
BARRA DA TIJUCA,Casa,2.0,2.5,1.19,0.00,168
