bairro,tipologia,piso_p1,p5,mediana,p95,teto_p995,escrituras,janela
ÁGUA SANTA,Apartamento,2317,2449,3419,4527,4527,53,3 anos
BANGU,Casa,1498,1582,2029,3460,3460,42,3 anos
BRÁS DE PINA,Apartamento,1996,2516,3669,4774,4877,61,3 anos
COLÉGIO,Apartamento,2627,2675,3612,4160,4160,24,3 anos
FREGUESIA (ILHA),Apartamento,2069,2709,4114,5138,5759,95,3 anos
FREGUESIA (JACAREPAGUÁ),Casa,2162,2188,4086,4848,5168,68,3 anos
GUARATIBA,Casa,1642,1704,1862,2275,2653,54,3 anos
INHOAÍBA,Apartamento,1932,2401,2518,2816,2816,37,3 anos
JARDIM SULACAP,Apartamento,2243,3088,3900,4492,4507,64,3 anos
MADUREIRA,Apartamento,2181,2278,3075,4771,5181,68,3 anos
MARECHAL HERMES,Apartamento,2109,3914,3979,4632,4870,98,3 anos
PIEDADE,Apartamento,2107,2539,3679,4423,4478,82,3 anos
RAMOS,Apartamento,2386,2618,3836,4511,4535,79,3 anos
RECREIO DOS BANDEIRANTES,Casa,4335,4701,5646,6765,6820,95,3 anos
RIACHUELO,Apartamento,2315,2571,3287,4366,5330,79,3 anos
SANTA CRUZ,Apartamento,2303,3068,3068,3182,3182,85,3 anos
VARGEM PEQUENA,Casa,2310,2310,4170,5128,5263,86,3 anos
VICENTE DE CARVALHO,Apartamento,2378,2742,4276,5050,5167,83,3 anos
ÁGUA SANTA,Apartamento,2111,2525,3190,4144,4527,127,5 anos
BANGU,Casa,1498,1582,2067,3460,3460,56,5 anos
BRÁS DE PINA,Apartamento,2030,2449,3669,4774,4877,116,5 anos
COLÉGIO,Apartamento,2516,2793,3469,3897,4160,174,5 anos
FREGUESIA (ILHA),Apartamento,2307,2768,4009,4896,5759,139,5 anos
FREGUESIA (JACAREPAGUÁ),Casa,1500,2162,3555,4793,5168,117,5 anos
GUARATIBA,Casa,1642,1704,1862,2275,2653,54,5 anos
INHOAÍBA,Apartamento,1932,2401,2518,2816,2816,37,5 anos
JARDIM SULACAP,Apartamento,2243,3176,3862,4473,4507,81,5 anos
MADUREIRA,Apartamento,1994,2301,3092,5050,5181,132,5 anos
MARECHAL HERMES,Apartamento,2799,3568,3947,4632,4859,211,5 anos
PIEDADE,Apartamento,2096,2450,3713,4372,4478,165,5 anos
RAMOS,Apartamento,2401,2476,3631,4711,5014,139,5 anos
RECREIO DOS BANDEIRANTES,Casa,4403,4453,5359,6561,6820,200,5 anos
RIACHUELO,Apartamento,2231,2433,3266,4720,5330,112,5 anos
SANTA CRUZ,Apartamento,2303,3068,3068,3182,3182,85,5 anos
VARGEM PEQUENA,Casa,1885,2145,3781,4840,5263,182,5 anos
VICENTE DE CARVALHO,Apartamento,2531,2754,4096,5026,5167,167,5 anos
