bairro,tipologia,piso_p1,p5,mediana,p95,teto_p99,escrituras
ANDARAÍ,Apartamento,2575,3092,4803,6207,6658,573
ANIL,Apartamento,3264,3735,4853,5616,5756,389
BARRA DA TIJUCA,Apartamento,6179,7088,9673,15265,18895,6408
BARRA DA TIJUCA,Casa,5366,6038,7757,10402,11046,168
BARRA OLÍMPICA,Apartamento,5691,5795,8279,9351,9542,581
BONSUCESSO,Apartamento,2142,2330,3595,5024,5187,167
BOTAFOGO,Apartamento,7152,8320,11090,15515,18206,3036
CACHAMBI,Apartamento,2514,3177,4840,6509,6822,864
CAMORIM,Apartamento,4983,5376,6817,8844,9814,1792
CAMPO DOS AFONSOS,Apartamento,2514,2604,4079,4456,4463,156
CAMPO GRANDE,Apartamento,2072,2364,3646,4600,4922,1352
CAMPO GRANDE,Casa,924,1528,2064,2840,3222,366
CATETE,Apartamento,5709,6802,9226,11635,12685,677
CENTRO,Apartamento,3710,4050,5500,9742,11662,1316
COPACABANA,Apartamento,5922,8229,10589,13384,18356,6822
COSMOS,Apartamento,1572,1850,2183,2503,2635,144
CURICICA,Apartamento,3290,3627,6645,7363,7905,257
DEL CASTILHO,Apartamento,3902,4251,4966,5870,6044,449
ENGENHO DE DENTRO,Apartamento,1921,2560,4228,5894,6044,522
ENGENHO NOVO,Apartamento,2290,2461,3092,3657,4113,216
FLAMENGO,Apartamento,7633,8239,9852,14144,18625,2052
FREGUESIA (JACAREPAGUÁ),Apartamento,3316,3773,4977,6493,6740,1659
GÁVEA,Apartamento,9177,10368,13998,20457,21995,503
GLÓRIA,Apartamento,6184,6701,7974,12132,17282,412
GRAJAÚ,Apartamento,3313,3697,4814,5978,6444,472
GUARATIBA,Apartamento,1730,2175,2610,2939,3807,111
GUARATIBA,Casa,1426,1449,1841,2276,2663,132
HUMAITÁ,Apartamento,8924,9330,10912,15793,18705,355
IPANEMA,Apartamento,8898,12402,17604,35432,42857,2246
IRAJÁ,Apartamento,2361,2621,4217,5268,5729,602
JACAREPAGUÁ,Apartamento,4000,4935,6526,8564,9027,3814
JARDIM BOTÂNICO,Apartamento,8242,11088,13762,18510,19550,359
JARDIM GUANABARA,Apartamento,3241,3550,4864,6281,6746,337
LAGOA,Apartamento,9859,10647,14588,22747,25585,519
LARANJEIRAS,Apartamento,5146,6934,9210,11963,15698,1381
LEBLON,Apartamento,13222,14400,20667,32253,48118,1523
LEME,Apartamento,8907,9192,10616,17204,17719,425
LINS DE VASCONCELOS,Apartamento,2375,2628,3300,4448,6118,201
MARACANÃ,Apartamento,4325,4549,6189,8980,10039,794
MÉIER,Apartamento,2723,3171,4175,5543,6117,648
OLARIA,Apartamento,2443,2576,3326,5218,5579,123
PARADA DE LUCAS,Apartamento,1644,1830,3505,4759,5212,142
PECHINCHA,Apartamento,3299,3602,4374,4916,5144,1002
PENHA,Apartamento,1376,2345,4069,5228,6016,220
PENHA CIRCULAR,Apartamento,2279,2420,3176,3791,3898,118
PRAÇA DA BANDEIRA,Apartamento,3864,4057,5322,6476,7058,110
PRAÇA SECA,Apartamento,1710,2145,2773,3281,3593,439
RECREIO DOS BANDEIRANTES,Apartamento,4418,5150,6344,7873,10971,4076
RECREIO DOS BANDEIRANTES,Casa,3694,4698,5646,6778,6990,114
RIO COMPRIDO,Apartamento,2283,2537,3818,5570,6980,511
SANTA CRUZ,Apartamento,1631,1647,2015,3140,3238,309
SANTA TERESA,Apartamento,3481,3724,5342,7356,7961,259
SANTÍSSIMO,Apartamento,1957,1957,2154,2373,2473,122
SANTO CRISTO,Apartamento,1760,4734,7668,9713,10074,583
SÃO CONRADO,Apartamento,7181,7538,10067,23417,25201,280
SÃO CRISTÓVÃO,Apartamento,3067,3526,5751,7802,8501,490
SÃO FRANCISCO XAVIER,Apartamento,2714,2804,4120,5114,5265,408
TANQUE,Apartamento,2635,2968,3790,4748,4970,126
TAQUARA,Apartamento,2528,3341,4246,5219,5762,1080
TIJUCA,Apartamento,3047,3954,5779,8417,9750,3967
TODOS OS SANTOS,Apartamento,3005,3261,4775,6400,6603,682
VARGEM GRANDE,Apartamento,4536,4536,5241,5937,6005,147
VARGEM PEQUENA,Apartamento,3992,4012,4612,5714,6177,148
VILA DA PENHA,Apartamento,2728,3100,4459,5636,6270,289
VILA ISABEL,Apartamento,2690,3228,4626,6511,7522,1079
VILA VALQUEIRE,Apartamento,1710,2197,4029,5447,5803,216
