bairro,tipologia,piso_p1,p5,mediana,p95,teto_p995,escrituras
ANDARAÍ,Apartamento,2575,3092,4803,6207,6728,573
ANIL,Apartamento,3542,3877,4863,5618,5904,387
BARRA DA TIJUCA,Apartamento,6178,7081,9643,15099,19402,6277
BARRA DA TIJUCA,Casa,5366,6038,7757,10402,11419,168
BONSUCESSO,Apartamento,2142,2330,3595,5024,5268,167
BOTAFOGO,Apartamento,7152,8320,11090,15515,19421,3036
CACHAMBI,Apartamento,2514,3177,4840,6509,7008,864
CAMORIM,Apartamento,4979,5386,6817,8864,9873,1712
CAMPO DOS AFONSOS,Apartamento,2865,3075,4146,4459,4464,135
CAMPO GRANDE,Apartamento,2356,2510,3688,4600,4738,617
CAMPO GRANDE,Casa,1362,1691,2062,2743,3240,185
CATETE,Apartamento,5709,6802,9226,11635,13008,677
CENTRO,Apartamento,3707,4050,5500,9747,11687,1305
COPACABANA,Apartamento,5922,8229,10589,13384,21364,6822
CURICICA,Apartamento,3596,3783,6645,7371,8017,251
DEL CASTILHO,Apartamento,3902,4251,4966,5870,6060,449
ENGENHO DE DENTRO,Apartamento,1921,2624,4228,5894,6153,520
ENGENHO NOVO,Apartamento,2350,2510,3095,3658,4348,214
FLAMENGO,Apartamento,7633,8239,9852,14144,19656,2052
FREGUESIA (JACAREPAGUÁ),Apartamento,3316,3773,4977,6493,6864,1659
GÁVEA,Apartamento,9177,10368,13998,20457,22503,503
GLÓRIA,Apartamento,6184,6701,7974,12132,17461,412
GRAJAÚ,Apartamento,3313,3697,4814,5978,6531,472
HUMAITÁ,Apartamento,8924,9330,10912,15793,19746,355
IPANEMA,Apartamento,8898,12402,17604,35432,44206,2246
IRAJÁ,Apartamento,2378,2690,4223,5269,5795,600
JACAREPAGUÁ,Apartamento,4000,4935,6526,8564,9372,3814
JARDIM BOTÂNICO,Apartamento,8242,11088,13762,18510,20050,359
JARDIM GUANABARA,Apartamento,3241,3550,4864,6281,7074,337
LAGOA,Apartamento,9859,10647,14588,22747,25609,519
LARANJEIRAS,Apartamento,5146,6934,9210,11963,16392,1381
LEBLON,Apartamento,13222,14400,20667,32253,53625,1523
LEME,Apartamento,8907,9192,10616,17204,17835,425
LINS DE VASCONCELOS,Apartamento,2532,2655,3307,4451,6118,199
MARACANÃ,Apartamento,4325,4549,6189,8980,10073,794
MÉIER,Apartamento,2723,3171,4175,5543,6561,648
OLARIA,Apartamento,2443,2576,3326,5218,5732,123
PARADA DE LUCAS,Apartamento,1830,1873,3509,4828,5310,136
PECHINCHA,Apartamento,3299,3602,4374,4916,5189,1002
PENHA,Apartamento,2304,2445,4231,5246,6016,210
PENHA CIRCULAR,Apartamento,2278,2418,3183,3794,3901,108
PRAÇA DA BANDEIRA,Apartamento,3864,4057,5322,6476,7140,110
PRAÇA SECA,Apartamento,1710,2145,2773,3281,3788,439
RECREIO DOS BANDEIRANTES,Apartamento,4404,5148,6314,7873,11740,3536
RIO COMPRIDO,Apartamento,2283,2537,3818,5570,7347,511
SANTA TERESA,Apartamento,3481,3718,5356,7361,8112,257
SANTO CRISTO,Apartamento,1929,4836,7706,9722,10192,581
SÃO CONRADO,Apartamento,7181,7538,10067,23417,26022,280
SÃO CRISTÓVÃO,Apartamento,3185,3718,5758,7837,8574,488
SÃO FRANCISCO XAVIER,Apartamento,2714,2804,4120,5114,5394,408
TANQUE,Apartamento,2635,2968,3790,4748,5018,126
TAQUARA,Apartamento,2528,3341,4246,5219,6093,1080
TIJUCA,Apartamento,3047,3954,5779,8417,9953,3967
TODOS OS SANTOS,Apartamento,3005,3261,4775,6400,6661,682
VARGEM GRANDE,Apartamento,4536,4536,5260,5943,6016,137
VARGEM PEQUENA,Apartamento,3992,4011,4606,5735,6214,146
VILA DA PENHA,Apartamento,2918,3119,4471,5636,6272,287
VILA ISABEL,Apartamento,2690,3228,4626,6511,7770,1079
VILA VALQUEIRE,Apartamento,2149,2614,4157,5449,5878,208
