bairro,tipologia,piso_p1,p5,mediana,p95,teto_p99,escrituras
ÁGUA SANTA,Apartamento,2183,2416,3190,4096,4527,123
ANDARAÍ,Apartamento,2471,3088,4692,6203,6867,825
ANIL,Apartamento,3413,3726,4701,5533,5674,719
BANGU,Casa,1239,1396,1913,2677,3535,131
BARRA DA TIJUCA,Apartamento,6086,6860,9164,13836,17688,9881
BARRA DA TIJUCA,Casa,4728,5563,7411,9872,10897,294
BARRA OLÍMPICA,Apartamento,5708,5808,8280,9319,9535,411
BONSUCESSO,Apartamento,2147,2488,3359,4739,5024,218
BOTAFOGO,Apartamento,6909,7877,10702,15442,18345,4178
BRÁS DE PINA,Apartamento,2104,2354,3610,4735,4851,108
CACHAMBI,Apartamento,2473,3157,4633,6124,6746,1754
CAMORIM,Apartamento,5013,5322,6428,8529,9640,2612
CAMPO DOS AFONSOS,Apartamento,2511,2588,4123,4457,4463,154
CAMPO GRANDE,Apartamento,2211,2408,3479,4406,4757,2130
CAMPO GRANDE,Casa,1286,1521,1981,2631,3134,638
CATETE,Apartamento,5440,6040,8937,11329,12085,799
CENTRO,Apartamento,3340,3922,5033,7546,8787,391
COLÉGIO,Apartamento,2411,2577,3394,3883,4102,174
COPACABANA,Apartamento,5573,7827,10208,13054,17183,9914
CURICICA,Apartamento,3582,3648,6293,7311,7409,252
DEL CASTILHO,Apartamento,3358,4168,4822,5639,6017,824
ENGENHO DE DENTRO,Apartamento,1954,2717,4205,5641,6025,812
ENGENHO NOVO,Apartamento,2057,2503,3085,3805,4164,331
FLAMENGO,Apartamento,7062,7303,9128,12142,14196,1214
FREGUESIA (ILHA),Apartamento,2702,2792,3703,4828,5260,132
FREGUESIA (JACAREPAGUÁ),Apartamento,3280,3726,4812,6161,6700,2650
FREGUESIA (JACAREPAGUÁ),Casa,1594,2162,3408,4708,5006,112
GÁVEA,Apartamento,9704,9996,13323,19489,21780,596
GLÓRIA,Apartamento,5634,5859,7359,11465,12152,227
GRAJAÚ,Apartamento,3103,3578,4725,5799,6421,740
GUARATIBA,Casa,1380,1501,1704,2237,2289,240
HUMAITÁ,Apartamento,8255,8934,10577,13508,18086,451
INHOAÍBA,Apartamento,1981,2196,2518,2939,3138,171
IPANEMA,Apartamento,8258,10608,16748,33731,41333,3057
IRAJÁ,Apartamento,2361,2530,3740,5150,5538,1141
JACAREPAGUÁ,Apartamento,3775,4623,6231,8159,8891,6872
JARDIM BOTÂNICO,Apartamento,8195,10082,13547,18228,19550,474
JARDIM GUANABARA,Apartamento,3088,3500,4748,6209,6859,541
JARDIM SULACAP,Apartamento,2626,3078,3761,4488,4594,146
LAGOA,Apartamento,9835,10430,14313,22329,25481,747
LARANJEIRAS,Apartamento,5704,6808,9130,12259,15316,1502
LEBLON,Apartamento,12793,13599,19577,31452,45590,2213
LEME,Apartamento,8507,9037,10406,16975,17833,621
LINS DE VASCONCELOS,Apartamento,2359,2572,3369,4707,6118,330
MADUREIRA,Apartamento,2051,2277,3014,5050,5113,130
MARACANÃ,Apartamento,4367,4557,5997,8577,9979,1017
MARECHAL HERMES,Apartamento,2337,2830,3930,4457,4792,211
MÉIER,Apartamento,2774,3172,4142,5524,5929,1006
OLARIA,Apartamento,2358,2504,3160,4914,5244,143
PARADA DE LUCAS,Apartamento,1830,1977,3344,4308,5124,227
PECHINCHA,Apartamento,3228,3575,4234,4880,5099,1806
PENHA,Apartamento,2159,2385,3867,5010,5596,312
PENHA CIRCULAR,Apartamento,2290,2352,3051,3781,3959,160
PIEDADE,Apartamento,2097,2412,3679,4347,4441,156
PRAÇA DA BANDEIRA,Apartamento,3735,3905,5182,6456,6985,156
PRAÇA SECA,Apartamento,1743,2136,2814,3256,3712,682
RAMOS,Apartamento,2405,2454,3529,4511,4865,131
RECREIO DOS BANDEIRANTES,Apartamento,4369,4873,5971,7451,10473,7526
RECREIO DOS BANDEIRANTES,Casa,3723,4426,5347,6534,6789,292
RIACHUELO,Apartamento,2264,2421,3237,4613,5049,112
RIO COMPRIDO,Apartamento,2456,2767,3801,5258,6601,238
SANTA CRUZ,Apartamento,1984,2192,2999,3199,3230,154
SANTA TERESA,Apartamento,3085,3434,4095,6546,7218,127
SANTO CRISTO,Apartamento,3421,3421,4111,8442,8484,514
SÃO CONRADO,Apartamento,5069,6977,9698,23303,25485,420
SÃO CRISTÓVÃO,Apartamento,3246,3754,5693,7043,8174,173
SÃO FRANCISCO XAVIER,Apartamento,2582,2704,3962,5114,5114,676
TANQUE,Apartamento,2533,2731,3560,4491,4925,173
TAQUARA,Apartamento,2540,3236,4174,5079,5494,1719
TIJUCA,Apartamento,2979,3900,5669,8266,9499,6039
TODOS OS SANTOS,Apartamento,3006,3343,4744,6400,6509,1200
VARGEM GRANDE,Apartamento,4536,4745,5040,5930,6067,320
VARGEM PEQUENA,Apartamento,3968,3998,4494,5532,6098,296
VARGEM PEQUENA,Casa,2036,2165,3841,4850,5080,181
VICENTE DE CARVALHO,Apartamento,2503,2749,3971,5009,5042,164
VILA DA PENHA,Apartamento,2704,3105,4365,5615,6230,492
VILA ISABEL,Apartamento,2690,3196,4535,6411,7307,1705
VILA VALQUEIRE,Apartamento,2187,2553,3928,5251,5682,350
