bairro,tipologia,piso_p1,p5,mediana,p95,teto_p995,escrituras,janela
ABOLIÇÃO,Apartamento,2244,2248,2513,2940,2947,25,3 anos
ABOLIÇÃO,Apartamento,2244,2254,2668,3173,3290,32,5 anos
ABOLIÇÃO,Casa,1647,1647,2092,2536,2536,4,3 anos
ABOLIÇÃO,Casa,1647,1647,2092,2536,2536,4,5 anos
ACARI,Apartamento,767,767,767,767,767,2,5 anos
ÁGUA SANTA,Apartamento,2317,2449,3419,4527,4527,53,3 anos
ÁGUA SANTA,Apartamento,2100,2370,3190,4144,4527,129,5 anos
ALTO DA BOA VISTA,Apartamento,4655,4655,4896,6420,6420,6,3 anos
ALTO DA BOA VISTA,Apartamento,4655,4655,4904,6420,6420,8,5 anos
ALTO DA BOA VISTA,Casa,2942,2942,2942,2942,2942,2,5 anos
ANCHIETA,Apartamento,1489,1489,1489,1637,1637,6,3 anos
ANCHIETA,Apartamento,1418,1418,1489,1637,1637,8,5 anos
ANCHIETA,Casa,972,972,972,972,972,2,3 anos
ANCHIETA,Casa,751,751,969,1594,1594,12,5 anos
ANDARAÍ,Apartamento,2560,3131,4971,6165,6735,573,3 anos
ANDARAÍ,Apartamento,2475,3164,4824,6209,7279,861,5 anos
ANDARAÍ,Casa,1819,1819,3439,4679,4679,13,3 anos
ANDARAÍ,Casa,1819,1861,3439,4649,4679,22,5 anos
ANIL,Apartamento,3352,4062,4853,5551,6048,389,3 anos
ANIL,Apartamento,3563,3732,4694,5485,5683,809,5 anos
ANIL,Casa,1543,1569,2261,3432,3573,32,3 anos
ANIL,Casa,1543,1590,2439,3573,4789,52,5 anos
BANCÁRIOS,Apartamento,3094,3094,4168,4737,4737,17,3 anos
BANCÁRIOS,Apartamento,2484,2520,3896,4703,4737,23,5 anos
BANCÁRIOS,Casa,1631,1631,2665,2724,2724,9,3 anos
BANCÁRIOS,Casa,1583,1583,1994,3122,3122,21,5 anos
BANGU,Apartamento,2087,2263,3331,3991,4117,67,3 anos
BANGU,Apartamento,2093,2262,3232,4113,4192,106,5 anos
BANGU,Casa,1191,1498,1979,3460,3568,90,3 anos
BANGU,Casa,1149,1401,1917,3460,3637,162,5 anos
BARRA DA TIJUCA,Apartamento,6168,7247,10109,17123,20320,6408,3 anos
BARRA DA TIJUCA,Apartamento,6068,6860,9491,16086,19348,10333,5 anos
