bairro,tipologia,piso_p1,p5,mediana,p95,teto_p995,escrituras,janela
ABOLIÇÃO,Apartamento,2244,2248,2513,2940,2947,25,3 anos
ABOLIÇÃO,Apartamento,2244,2254,2668,3173,3290,32,5 anos
ABOLIÇÃO,Casa,1647,1647,2092,2536,2536,4,3 anos
ABOLIÇÃO,Casa,1647,1647,2092,2536,2536,4,5 anos
ACARI,Apartamento,767,767,767,767,767,2,5 anos
ÁGUA SANTA,Apartamento,2317,2449,3419,4527,4527,53,3 anos
ALTO DA BOA VISTA,Apartamento,4655,4655,4896,6420,6420,6,3 anos
ALTO DA BOA VISTA,Apartamento,4655,4655,4904,6420,6420,8,5 anos
ALTO DA BOA VISTA,Casa,2942,2942,2942,2942,2942,2,5 anos
ANCHIETA,Apartamento,1489,1489,1489,1637,1637,6,3 anos
ANCHIETA,Apartamento,1418,1418,1489,1637,1637,8,5 anos
ANCHIETA,Casa,972,972,972,972,972,2,3 anos
ANCHIETA,Casa,751,751,969,1594,1594,12,5 anos
ANDARAÍ,Casa,1819,1819,3439,4679,4679,13,3 anos
ANDARAÍ,Casa,1819,1861,3439,4649,4679,22,5 anos
ANIL,Casa,1543,1569,2261,3432,3573,32,3 anos
ANIL,Casa,1543,1590,2439,3573,4789,52,5 anos
BANCÁRIOS,Apartamento,3094,3094,4168,4737,4737,17,3 anos
BANCÁRIOS,Apartamento,2484,2520,3896,4703,4737,23,5 anos
BANCÁRIOS,Casa,1631,1631,2665,2724,2724,9,3 anos
BANCÁRIOS,Casa,1583,1583,1994,3122,3122,21,5 anos
BANGU,Apartamento,2087,2263,3331,3991,4117,67,3 anos
BANGU,Casa,1191,1498,1979,3460,3568,90,3 anos
BENFICA,Apartamento,2106,2106,3596,3996,3996,17,3 anos
BENFICA,Apartamento,2106,2163,3596,3996,3996,29,5 anos
BENFICA,Casa,1752,1752,1752,1752,1752,2,3 anos
BENFICA,Casa,979,979,1365,1752,1752,4,5 anos
BENTO RIBEIRO,Apartamento,2879,2879,3676,3880,3880,15,3 anos
BENTO RIBEIRO,Apartamento,2244,2476,3201,3948,3948,47,5 anos
BENTO RIBEIRO,Casa,1520,1527,2081,2797,2806,22,3 anos
BENTO RIBEIRO,Casa,1104,1395,1879,2805,2806,35,5 anos
BONSUCESSO,Casa,1636,1636,2063,2390,2390,10,3 anos
