trimestre,mediana_m2,escrituras
2020-01-01,5521,3418
2020-04-01,5050,2344
2020-07-01,5187,5622
2020-10-01,5551,5880
2021-01-01,5706,4507
2021-04-01,5621,5326
2021-07-01,5828,5326
2021-10-01,5963,4829
2022-01-01,5715,4893
2022-04-01,5718,4995
2022-07-01,5381,5920
2022-10-01,5515,4851
2023-01-01,5608,4481
2023-04-01,5708,4798
2023-07-01,5806,5011
2023-10-01,6077,4287
2024-01-01,6010,4270
2024-04-01,6128,5020
2024-07-01,6211,5475
2024-10-01,6835,4735
2025-01-01,6992,5113
2025-04-01,6986,5319
2025-07-01,7232,5578
2025-10-01,7524,5297
2026-01-01,7389,4706
2026-04-01,7357,3866
