ordem_api,codbairro,bairro,api_features_2020_2026,api_escrituras_2020_2026,db_linhas,db_escrituras
0,033,TIJUCA,2494,9532,2166,8436
1,035,MARACANÃ,440,1660,381,1490
2,036,VILA ISABEL,974,2958,837,2554
3,037,ANDARAÍ,456,1420,390,1181
4,038,GRAJAÚ,505,1226,455,1089
5,043,PENHA,238,728,214,669
6,045,BRÁS DE PINA,109,252,93,214
7,046,CORDOVIL,20,50,17,42
8,047,PARADA DE LUCAS,106,390,103,383
9,049,JARDIM AMÉRICA,33,86,24,61
10,052,MARIA DA GRAÇA,46,104,42,94
11,053,DEL CASTILHO,303,2230,282,1513
12,054,INHAÚMA,35,99,31,88
13,056,TOMÁS COELHO,13,26,12,24
14,057,SÃO FRANCISCO XAVIER,141,781,134,765
15,040,BONSUCESSO,170,587,148,529
16,041,RAMOS,117,319,99,243
17,042,OLARIA,152,366,136,324
18,058,ROCHA,62,151,56,134
19,059,RIACHUELO,89,205,72,167
20,060,SAMPAIO,25,52,23,47
21,061,ENGENHO NOVO,225,561,206,515
22,062,LINS DE VASCONCELOS,221,583,194,518
23,063,MÉIER,626,1735,564,1548
24,064,TODOS OS SANTOS,531,2297,497,2220
25,044,PENHA CIRCULAR,169,407,155,372
26,050,HIGIENÓPOLIS,54,131,45,108
27,048,VIGÁRIO GERAL,12,35,11,33
28,051,JACARÉ,12,30,11,24
29,065,CACHAMBI,614,2648,571,2530
30,066,ENGENHO DE DENTRO,447,1379,406,1263
31,055,ENGENHO DA RAINHA,27,62,25,58
32,067,ÁGUA SANTA,58,204,57,201
33,068,ENCANTADO,55,234,50,224
34,069,PIEDADE,139,337,131,316
35,072,VILA KOSMOS,34,77,30,67
36,073,VICENTE DE CARVALHO,142,467,125,416
37,074,VILA DA PENHA,314,891,283,811
38,076,IRAJÁ,469,2024,439,1637
39,077,COLÉGIO,40,231,38,223
40,075,VISTA ALEGRE,26,66,24,60
41,078,CAMPINHO,27,60,22,49
42,079,QUINTINO BOCAIÚVA,94,257,80,198
43,080,CAVALCANTI,8,18,7,16
44,082,CASCADURA,77,174,60,138
45,083,MADUREIRA,235,707,155,444
46,084,VAZ LOBO,47,122,40,101
47,086,ROCHA MIRANDA,29,71,24,51
48,088,OSVALDO CRUZ,33,84,28,71
49,089,BENTO RIBEIRO,64,150,53,124
50,090,MARECHAL HERMES,62,304,53,264
51,091,RIBEIRA,54,122,49,112
52,070,ABOLIÇÃO,29,65,26,59
53,095,PRAIA DA BANDEIRA,14,32,14,32
54,096,COCOTÁ,26,61,22,47
55,098,FREGUESIA (ILHA),84,208,77,190
56,099,JARDIM GUANABARA,382,950,336,839
57,100,JARDIM CARIOCA,65,177,56,137
58,101,TAUÁ,71,155,64,141
59,102,MONERÓ,50,117,46,107
60,103,PORTUGUESA,69,162,61,142
61,087,HONÓRIO GURGEL,28,66,20,48
62,093,CACUIA,20,51,18,45
63,071,PILARES,86,264,79,246
64,094,PITANGUEIRAS,16,33,14,28
65,106,GUADALUPE,29,63,25,54
66,114,PAVUNA,55,236,46,101
67,115,JACAREPAGUÁ,1555,11296,1480,11050
68,107,ANCHIETA,18,51,14,30
69,112,BARROS FILHO,0,0,0,0
70,113,COSTA BARROS,1,2,0,0
71,097,BANCÁRIOS,31,76,26,56
72,108,PARQUE ANCHIETA,15,32,13,28
73,109,RICARDO DE ALBUQUERQUE,17,36,11,23
74,116,ANIL,238,1335,224,1294
75,117,GARDÊNIA AZUL,47,207,44,189
76,119,CURICICA,60,337,55,305
77,120,FREGUESIA (JACAREPAGUÁ),1223,5601,1139,5302
78,118,CIDADE DE DEUS,8,24,7,22
79,121,PECHINCHA,696,3561,661,3431
80,122,TAQUARA,948,3834,885,3577
81,123,TANQUE,172,484,159,453
82,124,PRAÇA SECA,425,1276,386,1156
83,125,VILA VALQUEIRE,283,689,249,609
84,128,BARRA DA TIJUCA,3811,19808,3338,18703
85,129,CAMORIM,295,2842,286,2804
86,130,VARGEM PEQUENA,264,935,193,718
87,131,VARGEM GRANDE,173,589,148,525
88,132,RECREIO DOS BANDEIRANTES,3148,13653,2907,12871
89,137,JARDIM SULACAP,108,259,99,235
90,139,REALENGO,103,270,85,222
91,140,PADRE MIGUEL,33,87,23,60
92,141,BANGU,220,812,190,465
93,142,SENADOR CAMARÁ,54,128,46,115
94,143,SANTÍSSIMO,78,218,77,215
95,144,CAMPO GRANDE,1516,5180,1407,4837
96,146,INHOAÍBA,79,288,79,288
97,149,SANTA CRUZ,122,451,115,439
98,151,GUARATIBA,222,582,216,568
99,135,VILA MILITAR,1,2,1,2
100,138,MAGALHÃES BASTOS,11,30,9,26
101,145,SENADOR VASCONCELOS,24,54,23,52
102,147,COSMOS,127,372,119,352
103,153,PEDRA DE GUARATIBA,15,31,14,29
104,158,VASCO DA GAMA,20,56,18,50
105,004,CAJU,8,17,5,10
106,005,CENTRO,1834,7810,1510,6612
107,006,CATUMBI,24,65,22,60
108,007,RIO COMPRIDO,312,1090,276,994
109,009,ESTÁCIO,56,134,48,114
110,010,SÃO CRISTÓVÃO,283,1342,251,1259
111,012,BENFICA,58,148,50,131
112,014,SANTA TERESA,246,612,210,517
113,015,FLAMENGO,1003,4954,865,4389
114,011,MANGUEIRA,3,6,2,4
115,016,GLÓRIA,217,761,194,687
116,017,LARANJEIRAS,749,3162,649,2836
117,148,PACIÊNCIA,24,54,23,52
118,150,SEPETIBA,0,0,0,0
119,018,CATETE,456,1567,393,1361
120,020,BOTAFOGO,1605,7003,1383,6080
121,003,SANTO CRISTO,137,2405,133,2394
122,008,CIDADE NOVA,21,49,16,37
123,013,PAQUETÁ,12,24,8,16
124,019,COSME VELHO,58,152,43,113
125,021,HUMAITÁ,231,754,196,639
126,022,URCA,47,103,38,81
127,023,LEME,260,998,210,811
128,024,COPACABANA,3212,15457,2702,13540
129,025,IPANEMA,1042,5098,848,4348
130,026,LEBLON,1210,4051,970,3103
131,027,LAGOA,344,1271,299,1065
132,028,JARDIM BOTÂNICO,323,943,279,798
133,029,GÁVEA,252,1023,207,867
134,031,SÃO CONRADO,246,714,209,602
135,032,PRAÇA DA BANDEIRA,92,244,79,215
136,034,ALTO DA BOA VISTA,13,26,9,18
137,081,ENGENHEIRO LEAL,5,11,2,4
138,110,COELHO NETO,19,47,16,42
139,092,ZUMBI,23,51,20,45
140,085,TURIAÇÚ,21,48,18,41
141,127,ITANHANGÁ,30,67,27,60
142,155,JACAREZINHO,2,5,1,2
143,002,GAMBOA,14,41,13,39
144,030,VIDIGAL,11,25,7,16
145,136,CAMPO DOS AFONSOS,11,163,11,163
146,156,COMPLEXO DO ALEMÃO,2,4,2,4
147,159,PARQUE COLÚMBIA,5,11,3,6
148,001,SAÚDE,31,131,19,78
149,157,MARÉ,2,4,1,2
150,126,JOÁ,4,10,4,10
151,152,BARRA DE GUARATIBA,1,2,1,2
152,039,MANGUINHOS,3,10,2,6
153,111,ACARI,1,2,1,2
154,165,BARRA OLÍMPICA,124,666,119,654
155,161,LAPA,3,6,3,6
156,163,JABOUR,2,4,2,4
