id,nome,rua,bairro,cidade,estado
360-on-the-park,360° On The Park,Av. dos Flamboyants,Barra da Tijuca,Rio de Janeiro,RJ
a3-offices,A3 Offices,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
aero-business-park,Aero Business Park,Av. Jaime Poggi,Jacarepaguá,Rio de Janeiro,RJ
affinity-village,Affinity Village,Estrada do Mendanha,Campo Grande,Rio de Janeiro,RJ
albatroz,Albatroz,Avenida Genaro de Carvalho,Recreio dos Bandeirantes,Rio de Janeiro,RJ
aloha-vilas-do-recreio,Aloha Vilas do Recreio,R. Otelo Zeloni,Recreio dos Bandeirantes,Rio de Janeiro,RJ
alpha-premium,Alpha Premium,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
altos-da-barra,Altos da Barra,Av. Pref. Dulcídio Cardoso,Barra da Tijuca,Rio de Janeiro,RJ
angra-golfe,Angra Golfe,Rod. RJ-155,Angra dos Reis,Rio de Janeiro,RJ
aqua-marine,Aqua Marine,Avenida Lúcio Costa,Barra da Tijuca,Rio de Janeiro,RJ
aquagreen-peninsula,Aquagreen Península,Av. dos Flamboyants,Barra da Tijuca,Rio de Janeiro,RJ
arena-akxe,Arena AKXE,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
art-life-design,Art Life Design,Avenida das Américas,Barra da Tijuca,Rio de Janeiro,RJ
atlantico-sul,Atlântico Sul,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barradeaux,Barradeaux,Avenida Prefeito Dulcídio Cardoso,Barra da Tijuca,Rio de Janeiro,RJ
barra-family-resort,Barra Family Resort,Avenida das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-golden-green,Barra Golden Green,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-lake,Barra Lake,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-life,Barra Life,Av. Armando Lombardi,Barra da Tijuca,Rio de Janeiro,RJ
barra-mares,Barra Mares,R. Rosauro Estelita,Barra da Tijuca,Rio de Janeiro,RJ
barra-master-tower,Barra Master Tower,Avenida das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-one-carioca,Barra One Carioca,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-park,Barra Park,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-prime,Barra Prime,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-secret-residence,Barra Secret Residence,Av. Pref. Dulcídio Cardoso,Barra da Tijuca,Rio de Janeiro,RJ
barra-shopping-1,Barra Shopping I,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-sunset,Barra Sunset,Av. Pref. Dulcídio Cardoso,Barra da Tijuca,Rio de Janeiro,RJ
barra-towers,Barra Towers,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-village,Barra Village,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
barra-viva-casas,Barra Viva Casas,Estrada de Macacos,Barra da Tijuca,Rio de Janeiro,RJ
barrabella,Barrabella,Av. Érico Veríssimo,Barra da Tijuca,Rio de Janeiro,RJ
barracuda,Barracuda,Estr. da Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,RJ
barramares,Barramares,Av. Lúcio Costa,Barra da Tijuca,Rio de Janeiro,RJ
barrasul,Barrasul,Avenida das Américas,Barra da Tijuca,Rio de Janeiro,RJ
bela-cintra,Bela Cintra,Av. Lúcio Costa,Barra da Tijuca,Rio de Janeiro,RJ
bella-vita,Bella Vita,Avenida das Américas,Barra da Tijuca,Rio de Janeiro,RJ
bellavista,Bellavista,R. Albert Sabin,Recreio dos Bandeirantes,Rio de Janeiro,RJ
blenheim,Blenheim,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
blue-lagoon,Blue Lagoon,Av. dos Flamboyants,Barra da Tijuca,Rio de Janeiro,RJ
blue-peninsula,Blue Península,Av. dos Flamboyants,Barra da Tijuca,Rio de Janeiro,RJ
blue-resort,Blue Resort,Av. dos Flamboyants,Barra da Tijuca,Rio de Janeiro,RJ
blue-seven,Blue Seven,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
bm-offices,BM Offices,Av. das Américas,Barra da Tijuca,Rio de Janeiro,RJ
boa-nova,Boa Nova,Estrada do Portelo,Itanhangá,Rio de Janeiro,RJ
boavista,Boavista,Av. Salvador Allende,Barra da Tijuca,Rio de Janeiro,RJ
bora-bora-barra,Bora Bora Barra,Av. Érico Veríssimo,Barra da Tijuca,Rio de Janeiro,RJ
bora-bora-hills,Bora Bora Hills,R. Cel. Moreira César,Vargem Pequena,Rio de Janeiro,RJ
bosque-barra,Bosque Barra,Rua Luciano de Freitas,Barra da Tijuca,Rio de Janeiro,RJ
bosque-do-itanhanga,Bosque do Itanhangá,Estrada do Itanhangá,Itanhangá,Rio de Janeiro,RJ
bosque-marapendi,Bosque Marapendi,Av. Marechal Henrique Lott,Barra da Tijuca,Rio de Janeiro,RJ
bosque-praia-itauna,Bosque Praia Itaúna,Avenida Praia de Itaúna,Recreio dos Bandeirantes,Rio de Janeiro,RJ
brisa-do-atlantico,Brisa do Atlântico,Avenida Tim Maia,Recreio dos Bandeirantes,Rio de Janeiro,RJ
brisas-do-bosque,Brisas do Bosque,R. Luciano de Freitas,Barra da Tijuca,Rio de Janeiro,RJ
bzios-beach-house,Búzios Beach House,Estrada das Pedrinhas,Búzios,Rio de Janeiro,RJ
camino-del-mar,Camino Del Mar,Av. Gastão Sengés,Barra da Tijuca,Rio de Janeiro,RJ
caminho-da-serra,Caminho da Serra,Avenida Engenheiro Roberto Zucher,Petrópolis,Rio de Janeiro,RJ
caminho-do-pontal,Caminho do Pontal,Av. Afonso Arinos de Melo Franco,Recreio dos Bandeirantes,Rio de Janeiro,RJ
campo-alegre,Campo Alegre,R. Mário Pederneiras,Recreio dos Bandeirantes,Rio de Janeiro,RJ
capitao-leitao-regis,Capitão Leitão Régis,R. Cap. Leitão Regis,Barra da Tijuca,Rio de Janeiro,RJ
