nome,logradouro,numero,bairro
Barramares,Avenida Lúcio Costa,3300,Barra da Tijuca
Ion Intelligent Center,Avenida das Américas,1650,Barra da Tijuca
360 On The Park,Avenida Flamboyants da Península,300,Barra da Tijuca
ABM,Avenida Afonso Arinos de Melo Franco,191,Barra da Tijuca
Al Mare,Avenida Lúcio Costa,6200,Barra da Tijuca
Alfa Barra,Avenida Lúcio Costa,6700,Barra da Tijuca
Alfa Barra 2,Avenida Lúcio Costa,6400,Barra da Tijuca
Alfa Barra II,Rua Desembargador João Claudino de Oliveira e Cruz,50,Barra da Tijuca
Aloha,Rua Jornalista Henrique Cordeiro,160,Barra da Tijuca
Alphaland Residence Club,Rua Paulo Moura,101,Barra da Tijuca
Americas 487,Avenida das Américas,487,Barra da Tijuca
Aquarela Peninsula,Rua Jacarandás da Península,880,Barra da Tijuca
Arquiteto Afonso Reidy,Avenida Arquiteto Afonso Reidy,235,Barra da Tijuca
Atmosfera,Avenida das Acácias da Península,540,Barra da Tijuca
Atol da Lagoa,Praça Advogado Heleno Cláudio Fragoso,16,Barra da Tijuca
Barra D Oro,Rua Jornalista Henrique Cordeiro,120,Barra da Tijuca
Barra Deck Leste,Avenida General Olyntho Pillar,210,Barra da Tijuca
Barra Deck Oeste,Avenida Heitor Doyle Maia,80,Barra da Tijuca
Barra First,Avenida das Américas,7897,Barra da Tijuca
Barra Golden,Rua Jornalista Henrique Cordeiro,70,Barra da Tijuca
Barra Marina,Avenida Prefeito Dulcídio Cardoso,1680,Barra da Tijuca
Barra Office,Avenida Olegário Maciel,231,Barra da Tijuca
Barra One Residences,Rua Jornalista Henrique Cordeiro,350,Barra da Tijuca
Barra Palace,Avenida Lúcio Costa,2916,Barra da Tijuca
Barra Summer Dream,Avenida Lúcio Costa,3604,Barra da Tijuca
Barra Village,Avenida Malibu,45,Barra da Tijuca
Barrabella Hotel Residencia,Avenida Lúcio Costa,4700,Barra da Tijuca
Barrabella Inn,Avenida Peregrino Júnior,180,Barra da Tijuca
Bernini,Avenida Flamboyants da Península,1250,Barra da Tijuca
Bernini Península,Avenida Flamboyants da Península,2412,Barra da Tijuca
Bianco Vita,Rua Carlos Leite Costa,20,Barra da Tijuca
Blue,Rua César Lattes,260,Barra da Tijuca
Blue Land Residence Service,Rua César Lattes,700,Barra da Tijuca
Blue One,Rua César Lattes,560,Barra da Tijuca
Borgonha,Rua Mário Agostinelli,150,Barra da Tijuca
Cabedelo,Rua José Fontes Romero,242,Barra da Tijuca
Canova,Rua Rino Levi,255,Barra da Tijuca
