nome,logradouro,numero,cep,bairro,microbairro,latitude,longitude
Barramares,Avenida Lúcio Costa,3300,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Vivendas da Barra,Avenida Lúcio Costa,3200,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Barra Palace,Avenida Lúcio Costa,2916,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Barra Summer Dream,Avenida Lúcio Costa,3604,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Barrabella Hotel Residencia,Avenida Lúcio Costa,4700,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Al Mare,Avenida Lúcio Costa,6200,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Alfa Barra,Avenida Lúcio Costa,6700,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Mansões,Avenida das Américas,10501,22620-100,Barra da Tijuca,Eixo Américas,-23.025,-43.385
Santa Mônica Jardins,Avenida das Américas,8888,22620-100,Barra da Tijuca,Eixo Américas,-23.025,-43.385
Riserva Uno,Avenida das Américas,10333,22620-100,Barra da Tijuca,Eixo Américas,-23.025,-43.385
Green Park,Avenida das Américas,1300,22620-100,Barra da Tijuca,Eixo Américas,-23.025,-43.385
Cond Ion Intelligent Center,Avenida das Américas,1650,22620-100,Barra da Tijuca,Eixo Américas,-23.025,-43.385
Barra First,Avenida das Américas,7897,22620-100,Barra da Tijuca,Eixo Américas,-23.025,-43.385
Absolutto Business Towers,Avenida das Américas,19005,22793-082,Recreio dos Bandeirantes,Recreio,-23.035,-43.395
Mandarim Península,Avenida dos Flamboyants,960,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Aquarela Península,Avenida das Acácias da Península,150,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Península,Avenida das Acácias da Península,150,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Malibu,Rua Engenheiro Mario Fernandes Guedes,100,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Le Parc,Avenida Jornalista Tim Lopes,255,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Cidade Jardim,Avenida Vice-Presidente José Alencar,1515,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio 360 On The Park,Avenida Flamboyants da Península,300,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Condomínio Abm,Avenida Afonso Arinos de Melo Franco,191,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Aloha,Rua Jornalista Henrique Cordeiro,160,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Alphaland,Rua Paulo Moura,101,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Aquarela,Rua Jacarandás da Península,880,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Condomínio Arquiteto Afonso Reidy,Avenida Arquiteto Afonso Reidy,235,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Atmosfera,Avenida das Acácias da Península,540,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Condomínio Atol da Lagoa,Praça Advogado Heleno Cláudio Fragoso,16,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Atol Atlântico,Praça Advogado Heleno Cláudio Fragoso,4,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra D Oro,Rua Jornalista Henrique Cordeiro,120,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra Deck Leste,Avenida General Olyntho Pillar,210,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra Deck Oeste,Avenida Heitor Doyle Maia,80,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra Golden,Rua Jornalista Henrique Cordeiro,70,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra Marina,Avenida Prefeito Dulcídio Cardoso,1680,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra Office,Avenida Olegário Maciel,231,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra One,Rua Jornalista Henrique Cordeiro,350,22640-000,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra Village,Avenida Malibu,45,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Condomínio Bernini,Avenida Flamboyants da Península,1250,22640-000,Barra da Tijuca,Península,-23.035,-43.395
Condomínio Blue Coast,Rua Mário Covas Júnior,161,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Barra,Avenida Lúcio Costa,1390,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Residencial Barra,Avenida das Américas,1400,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Edifício Barra,Avenida Ayrton Senna,1410,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Condomínio Barra,Avenida Embaixador Abelardo Bueno,1420,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Mansão Barra,Rua Mário Covas Júnior,1430,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Bloco Barra,Avenida Heitor Doyle Maia,1440,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Barra,Rua Paulo Moura,1450,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Barra,Avenida Jornalista Tim Lopes,1460,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Parque Barra,Avenida Lúcio Costa,1470,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Oasis Barra,Avenida das Américas,1480,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Templo Barra,Avenida Ayrton Senna,1490,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Imperial Barra,Avenida Embaixador Abelardo Bueno,1500,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Régis Barra,Rua Mário Covas Júnior,1510,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Premium Barra,Avenida Heitor Doyle Maia,1520,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Platinum Barra,Rua Paulo Moura,1530,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
Torre Palace,Avenida Jornalista Tim Lopes,1540,22640-100,Barra da Tijuca,Barra Central,-23.02,-43.36
Residencial Palace,Avenida Lúcio Costa,1550,22630-011,Barra da Tijuca,Eixo Lúcio Costa,-23.012,-43.371
Edifício Palace,Avenida das Américas,1560,22793-082,Recreio dos Bandeirantes,Eixo Américas,-23.025,-43.385
Condomínio Palace,Avenida Ayrton Senna,1570,22640-020,Barra da Tijuca,Barra Central,-23.02,-43.36
Mansão Palace,Avenida Embaixador Abelardo Bueno,1580,22630-011,Barra da Tijuca,Barra Oeste,-23.03,-43.39
Bloco Palace,Rua Mário Covas Júnior,1590,22620-970,Barra da Tijuca,Barra Central,-23.02,-43.36
Conjunto Palace,Avenida Heitor Doyle Maia,1600,22641-270,Barra da Tijuca,Barra Central,-23.02,-43.36
Vila Palace,Rua Paulo Moura,1610,22640-090,Barra da Tijuca,Barra Central,-23.02,-43.36
